"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"306","16","Reactome Pathways","","Intracellular signaling by second messengers","3.0E-4","HDAC7|PIK3R2|PHC2|PSMB7|PIK3R3|PSMB4|EZH2|PSMF1|THEM4|IRAK1|PIK3CD|PRKAR1A|PSMB11|PHC1|AKT1|PIK3CB","128","217|1478|1397|256|1508|259|220|2531|4991|295|1520|403|1880|1388|301|1514","5.72E-6","","HSA-9006925","0.35228787452803373","0"
"6","4","Reactome Pathways","","Biosynthesis of maresin-like SPMs","3.0E-4","CYP1A2|CYP2C8|CYP2E1|CYP3A4","128","331|1724|1178|1082","5.64E-6","","HSA-9027307","0.35228787452803373","0"
"34","6","WikiPathways","","Prostaglandin and leukotriene metabolism in senescence ","3.0E-4","PTGER2|ALOX12|LTC4S|ALOX15|PTGES|ALOX5","128","469|2291|3128|2300|2228|358","1.25E-5","","WP5321","0.35228787452803373","0"
"2203","55","GO Biological Process","","Nucleic acid metabolic process","3.1E-4","CDK5RAP1|USB1|RAD51AP1|WARS2|CDADC1|NARS1|DCPS|THRA|NARS2|MARS2|SPIDR|PCLAF|ADAT1|SWI5|EZH2|KARS1|TARS3|CIR1|CPSF4L|WARS1|DTL|SFR1|SARS1|PARS2|KIN|RAD1|NT5M|GARS1|RFC4|RAD9B|CYP1A1|THRB|NCOA1|RNF212|NT5C3B|NCOA2|ENPP3|EBNA1BP2|CHTF8|TOP2A|SNW1|SARS2-2|SARS2|CYP1B1|CPSF1|SSU72P4|SSU72P2|SSU72P3|SSU72P7|SSU72P5|SSU72P8|RAD51|HARS2|ENPP1|MED19","128","400|1451|1853|1886|457|1898|487|274|1913|1943|3239|2567|3824|3899|220|316|1889|4499|4706|325|2561|3905|1925|1937|5480|5570|1553|1904|373|5579|337|277|2099|5840|2003|2105|1235|460|5645|268|439|1919|1931|1100|433|4715|4739|4727|4733|4709|4721|379|319|1241|415","3.55E-6","","GO:0090304","0.3508638306165727","0"
"14","5","GO Biological Process","","Progesterone metabolic process","3.2E-4","SRD5A1|CYP17A1|AKR1C4|AKR1C3|AKR1C1","128","1154|1148|1463|286|1472","3.68E-6","","GO:0042448","0.34948500216800943","0"
"14","5","GO Biological Process","","UMP metabolic process","3.2E-4","NT5C|CAD|UPP1|UCK1|UPP2","128","1535|499|1982|475|1994","3.68E-6","","GO:0046049","0.34948500216800943","0"
"30","6","Reactome Pathways","","Nicotinate metabolism","3.3E-4","NAMPT|BST1|NMRK1|NAPRT|NNMT|NMRK2","128","247|1256|1586|1574|1250|1568","6.61E-6","","HSA-196807","0.34814860601221126","0"
"5","4","STRING Clusters","","Cholesterol dehydrogenase activity, and Congenital adrenal hyperplasia","3.6E-4","CYP11B1|HSD3B1|CYP17A1|HSD3B2","128","1094|1133|1148|1142","3.42E-6","","CL:9491","0.3443697499232713","0"
"5","4","STRING Clusters","","Phenanthrene 9,10-monooxygenase activity, and Cholestenone 5-alpha-reductase activity","3.6E-4","SRD5A3|SRD5A1|AKR1C3|AKR1C1","128","1106|1154|286|1472","3.42E-6","","CL:9503","0.3443697499232713","0"
"515","20","KEGG Pathways","","Pathways in cancer","3.8E-4","GSTA3|PIK3R2|GSTM2|PTGER2|GSTM5|PIK3R3|GSTA1|RXRG|GSTM3|GSTM4|GSTA4|GSTA5|PIK3CD|MGST1|NCOA1|LPAR4|GSTA2|AKT1|MGST2|PIK3CB","128","1265|1478|1301|469|1325|1508|1364|2852|1289|1277|1307|1271|1520|1331|2099|5867|1370|301|1313|1514","2.72E-5","","hsa05200","0.342021640338319","0"
"36","6","WikiPathways","","Ovarian infertility","3.8E-4","PTGER2|NCOR1|PGR|CYP19A1|AKT1|RAD51","128","469|1007|307|310|301|379","1.67E-5","","WP34","0.342021640338319","0"
